_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,100006,100005,2,2026-08,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100007,100005,2,2026-09,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_1,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100008,100005,2,2026-10,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_2,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100009,100005,2,2026-11,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_3,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100010,100005,2,2026-12,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_4,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100011,100005,2,2027-01,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_5,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100012,100005,2,2027-02,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100013,100005,2,2027-03,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100014,100005,2,2027-04,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100015,100005,2,2027-05,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_9,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100016,100005,2,2027-06,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_10,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100017,100005,2,2027-07,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_11,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100018,100005,2,2027-08,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_12,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100019,100005,2,2027-09,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_13,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100020,100005,2,2027-10,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_14,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100021,100005,2,2027-11,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_15,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,100022,100005,2,2027-12,555.5556,0,0,20000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_16,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
