ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
1,1,10,4,1405,库存商品,DEBIT,960.5000,0.0000,1,1.00000000,960.5000,960.5000,1,2,采购入库-北方钢铁,3,,,,,AP_INVOICE,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
10,5,20,3,1122,应收账款,CREDIT,0.0000,500.0000,1,1.00000000,500.0000,500.0000,1,2,应收转票据-华东科技,1,,,,,NOTES_RECEIVABLE_RECEIVED,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
11,6,10,38,2241,其他应付款-员工,DEBIT,300.0000,0.0000,1,1.00000000,300.0000,300.0000,1,2,报销抵扣预支-张三,5,,,,,EMPLOYEE_ADVANCE_SETTLE,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
12,6,20,39,1221,其他应收款-员工预支,CREDIT,0.0000,300.0000,1,1.00000000,300.0000,300.0000,1,2,预支核销-张三,5,,,,,EMPLOYEE_ADVANCE_SETTLE,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
2,1,20,5,2202,应付账款,CREDIT,0.0000,960.5000,1,1.00000000,960.5000,960.5000,1,2,应付-北方钢铁,3,,,,,AP_INVOICE,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
3,2,10,5,2202,应付账款,DEBIT,960.5000,0.0000,1,1.00000000,960.5000,960.5000,1,2,付款-北方钢铁,3,,,,,PAYMENT,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
4,2,20,2,1002,银行存款,CREDIT,0.0000,960.5000,1,1.00000000,960.5000,960.5000,1,2,付款-北方钢铁,3,,,,,PAYMENT,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
5,3,10,3,1122,应收账款,DEBIT,1130.0000,0.0000,1,1.00000000,1130.0000,1130.0000,1,2,应收-华东科技,1,,,,,AR_INVOICE,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
6,3,20,6,5001,主营业务收入,CREDIT,0.0000,1130.0000,1,1.00000000,1130.0000,1130.0000,1,2,销售收入-华东科技,1,,,,,AR_INVOICE,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
7,4,10,2,1002,银行存款,DEBIT,1130.0000,0.0000,1,1.00000000,1130.0000,1130.0000,1,2,收款-华东科技,1,,,,,RECEIPT,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
8,4,20,3,1122,应收账款,CREDIT,0.0000,1130.0000,1,1.00000000,1130.0000,1130.0000,1,2,收款-华东科技,1,,,,,RECEIPT,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
9,5,10,40,1121,应收票据,DEBIT,500.0000,0.0000,1,1.00000000,500.0000,500.0000,1,2,收票-华东科技,1,,,,,NOTES_RECEIVABLE_RECEIVED,,0,0,sys,2026-09-01 15:16:17.369,sys,2026-09-01 15:16:17.369
