ID,CODE,NAME,PARENT_ID,SUBJECT_CLASS,DIRECTION,BALANCE_TYPE,CURRENCY_ID,IS_AUXILIARY_PARTNER,IS_AUXILIARY_DEPARTMENT,IS_AUXILIARY_PROJECT,IS_AUXILIARY_WAREHOUSE,IS_AUXILIARY_PRODUCT,IS_AUXILIARY_COST_CENTER,IS_BUDGETABLE,IS_LEAF,STATUS,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,REMARK,CASH_FLOW_TYPE
2,1002,银行存款,,ASSET,DEBIT,DEBIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
3,1122,应收账款,,ASSET,DEBIT,DEBIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
34,4103,本年利润,,EQUITY,CREDIT,CREDIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
38,2241,其他应付款-员工,,LIABILITY,CREDIT,CREDIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
39,1221,其他应收款-员工预支,,ASSET,DEBIT,DEBIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.354,sys,2026-09-01 15:16:17.354,,OPERATING
4,1405,库存商品,,ASSET,DEBIT,DEBIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
40,1121,应收票据,,ASSET,DEBIT,DEBIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.354,sys,2026-09-01 15:16:17.354,,OPERATING
42,6603,财务费用-利息支出,,EXPENSE,DEBIT,DEBIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.354,sys,2026-09-01 15:16:17.354,,OPERATING
5,2202,应付账款,,LIABILITY,CREDIT,CREDIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
6,5001,主营业务收入,,INCOME,CREDIT,CREDIT,,false,false,false,false,false,false,false,true,ACTIVE,0,0,sys,2026-09-01 15:16:17.353,sys,2026-09-01 15:16:17.353,,OPERATING
