_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,100002,100001,1,3,1122,应收账款,CREDIT,0,150.00000,1,1,150.00000,150.00000,1,,期末汇兑重估-AR/AP,1,,,,,EXCHANGE_GAIN_LOSS,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100003,100001,2,42,6603,财务费用-利息支出,DEBIT,150.00000,0,1,1,150.00000,150.00000,1,,期末汇兑重估-AR/AP,,,,,,EXCHANGE_GAIN_LOSS,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100006,100005,1,6,5001,主营业务收入,DEBIT,1130.0000,0,1,1,1130.0000,1130.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100007,100005,2,34,4103,本年利润,CREDIT,0,1130.0000,1,1,1130.0000,1130.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100015,100014,1,6,5001,主营业务收入,DEBIT,-1130.0000,0,1,1.00000000,-1130.0000,-1130.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100016,100014,2,34,4103,本年利润,CREDIT,0,-1130.0000,1,1.00000000,-1130.0000,-1130.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100019,100018,1,3,1122,应收账款,CREDIT,0,-150.0000,1,1.00000000,-150.0000,-150.0000,1,,期末汇兑重估-AR/AP,1,,,,,EXCHANGE_GAIN_LOSS,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100020,100018,2,42,6603,财务费用-利息支出,DEBIT,-150.0000,0,1,1.00000000,-150.0000,-150.0000,1,,期末汇兑重估-AR/AP,,,,,,EXCHANGE_GAIN_LOSS,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100023,100022,1,3,1122,应收账款,CREDIT,0,150.00000,1,1,150.00000,150.00000,1,,期末汇兑重估-AR/AP,1,,,,,EXCHANGE_GAIN_LOSS,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100024,100022,2,42,6603,财务费用-利息支出,DEBIT,150.00000,0,1,1,150.00000,150.00000,1,,期末汇兑重估-AR/AP,,,,,,EXCHANGE_GAIN_LOSS,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100027,100026,1,6,5001,主营业务收入,DEBIT,1130.0000,0,1,1,1130.0000,1130.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,100028,100026,2,34,4103,本年利润,CREDIT,0,1130.0000,1,1,1130.0000,1130.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
