ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,BUSINESS_TYPE
1,1,10,4,1405,库存商品,DEBIT,960.50,0,1,1,960.50,960.50,1,2,采购入库-北方钢铁,3,AP_INVOICE
2,1,20,5,2202,应付账款,CREDIT,0,960.50,1,1,960.50,960.50,1,2,应付-北方钢铁,3,AP_INVOICE
3,2,10,5,2202,应付账款,DEBIT,960.50,0,1,1,960.50,960.50,1,2,付款-北方钢铁,3,PAYMENT
4,2,20,2,1002,银行存款,CREDIT,0,960.50,1,1,960.50,960.50,1,2,付款-北方钢铁,3,PAYMENT
5,3,10,3,1122,应收账款,DEBIT,1130.00,0,1,1,1130.00,1130.00,1,2,应收-华东科技,1,AR_INVOICE
6,3,20,6,5001,主营业务收入,CREDIT,0,1130.00,1,1,1130.00,1130.00,1,2,销售收入-华东科技,1,AR_INVOICE
7,4,10,2,1002,银行存款,DEBIT,1130.00,0,1,1,1130.00,1130.00,1,2,收款-华东科技,1,RECEIPT
8,4,20,3,1122,应收账款,CREDIT,0,1130.00,1,1,1130.00,1130.00,1,2,收款-华东科技,1,RECEIPT
9,5,10,40,1121,应收票据,DEBIT,500.00,0,1,1,500.00,500.00,1,2,收票-华东科技,1,NOTES_RECEIVABLE_RECEIVED
10,5,20,3,1122,应收账款,CREDIT,0,500.00,1,1,500.00,500.00,1,2,应收转票据-华东科技,1,NOTES_RECEIVABLE_RECEIVED
11,6,10,38,2241,其他应付款-员工,DEBIT,300.00,0,1,1,300.00,300.00,1,2,报销抵扣预支-张三,5,EMPLOYEE_ADVANCE_SETTLE
12,6,20,39,1221,其他应收款-员工预支,CREDIT,0,300.00,1,1,300.00,300.00,1,2,预支核销-张三,5,EMPLOYEE_ADVANCE_SETTLE
13,7,10,5,2202,应付账款,DEBIT,800.00,0,1,1,800.00,800.00,1,2,票据置换应付-北方钢铁,3,NOTES_PAYABLE_ISSUED
14,7,20,41,2203,应付票据,CREDIT,0,800.00,1,1,800.00,800.00,1,2,银承开出-北方钢铁,3,NOTES_PAYABLE_ISSUED
15,8,10,5,2202,应付账款,DEBIT,-800.00,0,1,1,-800.00,-800.00,1,2,红冲票据开出-北方钢铁,3,NOTES_PAYABLE_ISSUED
16,8,20,41,2203,应付票据,CREDIT,0,-800.00,1,1,-800.00,-800.00,1,2,红冲银承-北方钢铁,3,NOTES_PAYABLE_ISSUED
