_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,10,7,1,2026-09,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2026-09-01,,1,0,0
A,11,7,1,2026-10,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2026-10-01,,1,0,0
A,12,7,1,2026-11,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2026-11-01,,1,0,0
A,13,7,1,2026-12,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2026-12-01,,1,0,0
A,14,7,1,2027-01,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2027-01-01,,1,0,0
A,15,7,1,2027-02,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2027-02-01,,1,0,0
A,16,7,1,2027-03,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2027-03-01,,1,0,0
A,17,7,1,2027-04,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2027-04-01,,1,0,0
A,18,7,1,2027-05,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2027-05-01,,1,0,0
A,19,7,1,2027-06,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2027-06-01,,1,0,0
A,8,7,1,2026-07,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2026-07-01,,1,0,0
A,9,7,1,2026-08,1000.0000,0,0,12000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,2026-08-01,,1,0,0
