_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,11,10,1,2026-07,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate,,1,0,0
A,12,10,1,2026-08,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_1,,1,0,0
A,13,10,1,2026-09,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_2,,1,0,0
A,14,10,1,2026-10,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_3,,1,0,0
A,15,10,1,2026-11,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_4,,1,0,0
A,16,10,1,2026-12,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_5,,1,0,0
A,17,10,1,2027-01,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0
A,18,10,1,2027-02,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0
A,19,10,1,2027-03,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0
A,20,10,1,2027-04,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_9,,1,0,0
A,21,10,1,2027-05,166.6667,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_10,,1,0,0
A,22,10,1,2027-06,166.6663,0,0,2000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_11,,1,0,0
