_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,101,55,1,2027-04,0,1363.5760,16637.7524,31362.2476,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_9,true,@var:ErpAstDepreciationSchedule@postedAt_9,,102,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-04-01,,1,0,0
A,106,55,1,2027-05,0,1306.7603,17944.5127,30055.4873,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_10,true,@var:ErpAstDepreciationSchedule@postedAt_10,,107,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-05-01,,1,0,0
A,111,55,1,2027-06,0,1252.3120,19196.8247,28803.1753,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_11,true,@var:ErpAstDepreciationSchedule@postedAt_11,,112,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-06-01,,1,0,0
A,116,55,1,2027-07,0,1200.1323,20396.9570,27603.0430,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_12,true,@var:ErpAstDepreciationSchedule@postedAt_12,,117,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-07-01,,1,0,0
A,121,55,1,2027-08,0,1150.1268,21547.0838,26452.9162,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_13,true,@var:ErpAstDepreciationSchedule@postedAt_13,,122,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-08-01,,1,0,0
A,126,55,1,2027-09,0,1102.2048,22649.2886,25350.7114,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_14,true,@var:ErpAstDepreciationSchedule@postedAt_14,,127,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-09-01,,1,0,0
A,131,55,1,2027-10,0,1056.2796,23705.5682,24294.4318,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_15,true,@var:ErpAstDepreciationSchedule@postedAt_15,,132,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-10-01,,1,0,0
A,136,55,1,2027-11,0,1012.2680,24717.8362,23282.1638,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_16,true,@var:ErpAstDepreciationSchedule@postedAt_16,,137,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-11-01,,1,0,0
A,141,55,1,2027-12,0,970.0902,25687.9264,22312.0736,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_17,true,@var:ErpAstDepreciationSchedule@postedAt_17,,142,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2027-12-01,,1,0,0
A,146,55,1,2028-01,0,929.6697,26617.5961,21382.4039,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_18,true,@var:ErpAstDepreciationSchedule@postedAt_18,,147,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,2028-01-01,,1,0,0
