_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,103,102,1,2,6602,折旧费用,DEBIT,1363.5760,0,1,1,1363.5760,1363.5760,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,104,102,2,3,1602,累计折旧,CREDIT,0,1363.5760,1,1,1363.5760,1363.5760,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,108,107,1,2,6602,折旧费用,DEBIT,1306.7603,0,1,1,1306.7603,1306.7603,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,109,107,2,3,1602,累计折旧,CREDIT,0,1306.7603,1,1,1306.7603,1306.7603,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,113,112,1,2,6602,折旧费用,DEBIT,1252.3120,0,1,1,1252.3120,1252.3120,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,114,112,2,3,1602,累计折旧,CREDIT,0,1252.3120,1,1,1252.3120,1252.3120,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,118,117,1,2,6602,折旧费用,DEBIT,1200.1323,0,1,1,1200.1323,1200.1323,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,119,117,2,3,1602,累计折旧,CREDIT,0,1200.1323,1,1,1200.1323,1200.1323,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,123,122,1,2,6602,折旧费用,DEBIT,1150.1268,0,1,1,1150.1268,1150.1268,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
A,124,122,2,3,1602,累计折旧,CREDIT,0,1150.1268,1,1,1150.1268,1150.1268,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_88,0,autotest-ref,*,autotest-ref,*
