_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,101,55,1,2027-04,0,1000.0000,10000.0000,2000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_9,true,@var:ErpAstDepreciationSchedule@postedAt_9,,102,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_9,,1,0,0
A,106,55,1,2027-05,0,1000.0000,11000.0000,1000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_10,true,@var:ErpAstDepreciationSchedule@postedAt_10,,107,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_10,,1,0,0
A,111,55,1,2027-06,0,1000.0000,12000.0000,0.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_11,true,@var:ErpAstDepreciationSchedule@postedAt_11,,112,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_11,,1,0,0
A,56,55,1,2026-07,0,1000.0000,1000.0000,11000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt,true,@var:ErpAstDepreciationSchedule@postedAt,,57,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate,,1,0,0
A,61,55,1,2026-08,0,1000.0000,2000.0000,10000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_1,true,@var:ErpAstDepreciationSchedule@postedAt_1,,62,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_1,,1,0,0
A,66,55,1,2026-09,0,1000.0000,3000.0000,9000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_2,true,@var:ErpAstDepreciationSchedule@postedAt_2,,67,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_2,,1,0,0
A,71,55,1,2026-10,0,1000.0000,4000.0000,8000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_3,true,@var:ErpAstDepreciationSchedule@postedAt_3,,72,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_3,,1,0,0
A,76,55,1,2026-11,0,1000.0000,5000.0000,7000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_4,true,@var:ErpAstDepreciationSchedule@postedAt_4,,77,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_4,,1,0,0
A,81,55,1,2026-12,0,1000.0000,6000.0000,6000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_5,true,@var:ErpAstDepreciationSchedule@postedAt_5,,82,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_5,,1,0,0
A,86,55,1,2027-01,0,1000.0000,7000.0000,5000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_6,true,@var:ErpAstDepreciationSchedule@postedAt_6,,87,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0
A,91,55,1,2027-02,0,1000.0000,8000.0000,4000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_7,true,@var:ErpAstDepreciationSchedule@postedAt_7,,92,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0
A,96,55,1,2027-03,0,1000.0000,9000.0000,3000.0000,EXECUTED,@var:ErpAstDepreciationSchedule@executedAt_8,true,@var:ErpAstDepreciationSchedule@postedAt_8,,97,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0
