_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,103,102,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,104,102,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,108,107,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,109,107,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,113,112,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,114,112,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,58,57,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,59,57,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,63,62,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,64,62,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,68,67,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,69,67,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,73,72,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,74,72,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,78,77,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,79,77,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,83,82,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,84,82,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,88,87,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,89,87,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,93,92,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,94,92,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,98,97,1,2,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
A,99,97,2,3,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_22,0,autotest-ref,*,autotest-ref,*
