_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,13,12,1,2026-08,0.0000,,0.0000,,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_25,1,autotest-ref,*,autotest-ref,*,,,1.00000000,0.0000,0.0000
A,17,12,1,2026-07,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2026-07-01,,1,0,0
A,18,12,1,2026-08,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2026-08-01,,1,0,0
A,19,12,1,2026-09,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2026-09-01,,1,0,0
A,20,12,1,2026-10,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2026-10-01,,1,0,0
A,21,12,1,2026-11,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2026-11-01,,1,0,0
A,22,12,1,2026-12,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2026-12-01,,1,0,0
A,23,12,1,2027-01,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-01-01,,1,0,0
A,24,12,1,2027-02,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-02-01,,1,0,0
A,25,12,1,2027-03,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-03-01,,1,0,0
A,26,12,1,2027-04,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-04-01,,1,0,0
A,27,12,1,2027-05,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-05-01,,1,0,0
A,28,12,1,2027-06,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-06-01,,1,0,0
A,29,12,1,2027-07,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-07-01,,1,0,0
A,30,12,1,2027-08,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-08-01,,1,0,0
A,31,12,1,2027-09,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-09-01,,1,0,0
A,32,12,1,2027-10,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-10-01,,1,0,0
A,33,12,1,2027-11,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-11-01,,1,0,0
A,34,12,1,2027-12,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2027-12-01,,1,0,0
A,35,12,1,2028-01,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2028-01-01,,1,0,0
A,36,12,1,2028-02,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2028-02-01,,1,0,0
A,37,12,1,2028-03,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2028-03-01,,1,0,0
A,38,12,1,2028-04,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2028-04-01,,1,0,0
A,39,12,1,2028-05,6041.6667,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2028-05-01,,1,0,0
A,40,12,1,2028-06,6041.6659,0,0,150000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_20,0,autotest-ref,*,autotest-ref,*,2028-06-01,,1,0,0
