_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,13,12,1,2026-08,0.0000,,0.0000,,PENDING,,false,,,,,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_25,1,autotest-ref,*,autotest-ref,*
A,16,12,1,2026-08,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_24,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_50,1,autotest-ref,*,autotest-ref,*
A,17,12,1,2026-09,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_25,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_51,1,autotest-ref,*,autotest-ref,*
A,18,12,1,2026-10,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_26,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_52,1,autotest-ref,*,autotest-ref,*
A,19,12,1,2026-11,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_27,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_53,1,autotest-ref,*,autotest-ref,*
A,20,12,1,2026-12,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_28,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_54,1,autotest-ref,*,autotest-ref,*
A,21,12,1,2027-01,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_29,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_55,1,autotest-ref,*,autotest-ref,*
A,22,12,1,2027-02,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_6,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_56,1,autotest-ref,*,autotest-ref,*
A,23,12,1,2027-03,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_7,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_57,1,autotest-ref,*,autotest-ref,*
A,24,12,1,2027-04,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_8,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_58,1,autotest-ref,*,autotest-ref,*
A,25,12,1,2027-05,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_9,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_59,1,autotest-ref,*,autotest-ref,*
A,26,12,1,2027-06,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_10,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_60,1,autotest-ref,*,autotest-ref,*
A,27,12,1,2027-07,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_11,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_61,1,autotest-ref,*,autotest-ref,*
A,28,12,1,2027-08,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_12,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_62,1,autotest-ref,*,autotest-ref,*
A,29,12,1,2027-09,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_13,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_63,1,autotest-ref,*,autotest-ref,*
A,30,12,1,2027-10,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_14,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_64,1,autotest-ref,*,autotest-ref,*
A,31,12,1,2027-11,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_15,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_65,1,autotest-ref,*,autotest-ref,*
A,32,12,1,2027-12,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_16,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_66,1,autotest-ref,*,autotest-ref,*
A,33,12,1,2028-01,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_17,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_67,1,autotest-ref,*,autotest-ref,*
A,34,12,1,2028-02,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_18,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_68,1,autotest-ref,*,autotest-ref,*
A,35,12,1,2028-03,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_19,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_69,1,autotest-ref,*,autotest-ref,*
A,36,12,1,2028-04,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_20,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_70,1,autotest-ref,*,autotest-ref,*
A,37,12,1,2028-05,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_21,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_71,1,autotest-ref,*,autotest-ref,*
A,38,12,1,2028-06,5416.6667,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_22,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_72,1,autotest-ref,*,autotest-ref,*
A,39,12,1,2028-07,5416.6659,0.0000,0.0000,130000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_23,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_73,1,autotest-ref,*,autotest-ref,*
A,48,12,1,2026-08,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_24,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,49,12,1,2026-09,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_25,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,50,12,1,2026-10,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_26,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,51,12,1,2026-11,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_27,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,52,12,1,2026-12,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_28,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,53,12,1,2027-01,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_29,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,54,12,1,2027-02,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,55,12,1,2027-03,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
A,56,12,1,2027-04,3541.6667,0,0,85000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_30,0,autotest-ref,*,autotest-ref,*
