_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL
A,13,12,1,2026-08,0.0000,,0.0000,,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_25,1,autotest-ref,*,autotest-ref,*,,,1.00000000,0.0000,0.0000
A,16,12,1,2026-07,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_50,1,autotest-ref,*,autotest-ref,*,2026-07-01,,1.00000000,0.0000,0.0000
A,17,12,1,2026-08,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_51,1,autotest-ref,*,autotest-ref,*,2026-08-01,,1.00000000,0.0000,0.0000
A,18,12,1,2026-09,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_52,1,autotest-ref,*,autotest-ref,*,2026-09-01,,1.00000000,0.0000,0.0000
A,19,12,1,2026-10,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_53,1,autotest-ref,*,autotest-ref,*,2026-10-01,,1.00000000,0.0000,0.0000
A,20,12,1,2026-11,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_54,1,autotest-ref,*,autotest-ref,*,2026-11-01,,1.00000000,0.0000,0.0000
A,21,12,1,2026-12,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_55,1,autotest-ref,*,autotest-ref,*,2026-12-01,,1.00000000,0.0000,0.0000
A,22,12,1,2027-01,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_56,1,autotest-ref,*,autotest-ref,*,2027-01-01,,1.00000000,0.0000,0.0000
A,23,12,1,2027-02,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_57,1,autotest-ref,*,autotest-ref,*,2027-02-01,,1.00000000,0.0000,0.0000
A,24,12,1,2027-03,5833.3333,0.0000,0.0000,140000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@delVersion_58,1,autotest-ref,*,autotest-ref,*,2027-03-01,,1.00000000,0.0000,0.0000
