_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,10,8,1,2026-08,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_1,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,11,8,1,2026-09,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_2,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,12,8,1,2026-10,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_3,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,13,8,1,2026-11,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_4,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,14,8,1,2026-12,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_5,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,15,8,1,2027-01,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_6,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,16,8,1,2027-02,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_7,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,17,8,1,2027-03,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_8,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,18,8,1,2027-04,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_9,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,19,8,1,2027-05,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_10,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,20,8,1,2027-06,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_11,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
A,9,8,1,2026-07,1000.0000,0.0000,0.0000,12000.0000,CANCELLED,,false,,,,@var:ErpAstDepreciationSchedule@businessDate,,1.00000000,0.0000,0.0000,@var:ErpAstDepreciationSchedule@delVersion_9,1,autotest-ref,*,autotest-ref,*
