_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,27,26,1,7,1601,固定资产,DEBIT,12000.0000,0,1,1.00000000,12000.0000,12000.0000,1,,,,,,,,CAPITALIZATION,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,28,26,2,2,1002,银行存款,CREDIT,0,12000.0000,1,1.00000000,12000.0000,12000.0000,1,,,,,,,,CAPITALIZATION,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,31,30,1,9,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,32,30,2,8,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,35,34,1,9,6602,折旧费用,DEBIT,1000.0000,0,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,36,34,2,8,1602,累计折旧,CREDIT,0,1000.0000,1,1,1000.0000,1000.0000,1,,,,,,,,DEPRECIATION,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,40,39,1,8,1602,累计折旧,DEBIT,2000.0000,0,1,1.00000000,2000.0000,2000.0000,1,,,,,,,,DISPOSAL,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,41,39,2,3,1606,固定资产清理,DEBIT,10000.0000,0,1,1.00000000,10000.0000,10000.0000,1,,,,,,,,DISPOSAL,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,42,39,3,7,1601,固定资产,CREDIT,0,12000.0000,1,1.00000000,12000.0000,12000.0000,1,,,,,,,,DISPOSAL,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,43,39,4,10,6711,营业外支出,DEBIT,10000.0000,0,1,1.00000000,10000.0000,10000.0000,1,,,,,,,,DISPOSAL,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,44,39,5,3,1606,固定资产清理,CREDIT,0,10000.0000,1,1.00000000,10000.0000,10000.0000,1,,,,,,,,DISPOSAL,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
