_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,12,11,1,2026-07,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,13,11,1,2026-08,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_1,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,14,11,1,2026-09,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_2,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,15,11,1,2026-10,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_3,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,16,11,1,2026-11,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_4,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,17,11,1,2026-12,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_5,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,18,11,1,2027-01,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,19,11,1,2027-02,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,20,11,1,2027-03,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,21,11,1,2027-04,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_9,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,22,11,1,2027-05,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_10,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,23,11,1,2027-06,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_11,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,24,11,1,2027-07,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_12,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,25,11,1,2027-08,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_13,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,26,11,1,2027-09,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_14,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,27,11,1,2027-10,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_15,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,28,11,1,2027-11,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_16,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
A,29,11,1,2027-12,1666.6667,0,0,100000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_17,,1,0,0,@var:ErpAstDepreciationSchedule@delVersion_9,0,autotest-ref,*,autotest-ref,*
