_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,14,13,1,2027-07,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,15,13,1,2027-08,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_1,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,16,13,1,2027-09,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_2,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,17,13,1,2027-10,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_3,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,18,13,1,2027-11,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_4,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,19,13,1,2027-12,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_5,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,20,13,1,2028-01,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_6,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,21,13,1,2028-02,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_7,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,22,13,1,2028-03,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_8,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,23,13,1,2028-04,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_9,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,24,13,1,2028-05,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_10,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,25,13,1,2028-06,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_11,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,26,13,1,2028-07,1300.0000,0,0,64000.0000,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_12,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
