_chgType,ID,ASSET_ID,ORG_ID,PERIOD,PLANNED_AMOUNT,ACTUAL_AMOUNT,ACCUMULATED_DEPRECIATION,NET_BOOK_VALUE,STATUS,EXECUTED_AT,POSTED,POSTED_AT,POSTED_BY,VOUCHER_ID,BUSINESS_DATE,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,100,67,1,2029-10,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_138,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,101,67,1,2029-11,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_139,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,102,67,1,2029-12,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_140,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,103,67,1,2030-01,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_141,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,104,67,1,2030-02,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_142,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,105,67,1,2030-03,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_143,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,106,67,1,2030-04,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_144,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,107,67,1,2030-05,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_145,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,108,67,1,2030-06,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_146,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
A,109,67,1,2030-07,5.0943,0,0,333.3330,PENDING,,false,,,,@var:ErpAstDepreciationSchedule@businessDate_147,,1,0,0,0,0,autotest-ref,*,autotest-ref,*
