_chgType,ID,CODE,ORG_ID,FORMAT_ID,RELATED_BILL_TYPE,RELATED_BILL_CODE,STATE,BLOCKING_LEVEL,ERROR,RETRY_COUNT,ATTACHMENT_FILE_ID,SENT_AT,ACKNOWLEDGED_AT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,BUSINESS_DATE
A,9000,@var:ErpB2bEdiDoc@code,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9001,@var:ErpB2bEdiDoc@code_1,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_1,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9002,@var:ErpB2bEdiDoc@code_2,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_2,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9003,@var:ErpB2bEdiDoc@code_3,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_3,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9004,@var:ErpB2bEdiDoc@code_4,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_4,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9005,@var:ErpB2bEdiDoc@code_5,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_5,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9006,@var:ErpB2bEdiDoc@code_6,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_6,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9007,@var:ErpB2bEdiDoc@code_7,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_7,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9008,@var:ErpB2bEdiDoc@code_8,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_8,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9009,@var:ErpB2bEdiDoc@code_9,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_9,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9010,@var:ErpB2bEdiDoc@code_10,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_10,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9011,@var:ErpB2bEdiDoc@code_11,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_11,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9012,@var:ErpB2bEdiDoc@code_12,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_12,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9013,@var:ErpB2bEdiDoc@code_13,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_13,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9014,@var:ErpB2bEdiDoc@code_14,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_14,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
A,9015,@var:ErpB2bEdiDoc@code_15,1601,8906,SALES_ORDER,@var:ErpB2bEdiDoc@relatedBillCode_15,SENT,INFO,,0,,,,,@var:ErpB2bEdiDoc@delVersion_21,0,autotest-ref,*,autotest-ref,*,@var:ErpB2bEdiDoc@businessDate
