_chgType,ID,ORG_ID,SUPPLIER_ID,MATERIAL_ID,ORDER_DATE,RECEIPT_DATE,ACTUAL_LEAD_TIME,EXPECTED_LEAD_TIME,VARIANCE_DAYS,PURCHASE_ORDER_CODE,IS_ON_TIME,EARLY_LATE_FLAG,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,8334,,8001,8201,2026-06-10,2026-06-20,10,10,0,PO-C1,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8335,,8001,8201,2026-06-10,2026-06-20,10,10,0,PO-C2,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8336,,8001,8201,2026-06-10,2026-06-20,10,10,0,PO-C3,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8337,,8001,8201,2026-06-10,2026-06-20,10,10,0,PO-C4,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8338,,8001,8201,2026-05-31,2026-06-20,20,10,10,PO-C5,false,LATE,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8339,,8002,8202,2026-06-10,2026-06-20,10,10,0,PO-D1,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8340,,8002,8202,2026-06-10,2026-06-20,10,10,0,PO-D2,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8341,,8002,8202,2026-06-10,2026-06-20,10,10,0,PO-D3,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8342,,8002,8202,2026-06-10,2026-06-20,10,10,0,PO-D4,true,ON_TIME,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,8343,,8002,8202,2026-05-31,2026-06-20,20,10,10,PO-D5,false,LATE,,@var:ErpInvDrpLeadTimeRecord@delVersion_1,0,autotest-ref,*,autotest-ref,*
