_chgType,ID,CODE,ORG_ID,INSPECTION_TYPE,RELATED_BILL_TYPE,RELATED_BILL_CODE,RELATED_LINE_CODE,MATERIAL_ID,TEMPLATE_ID,SUPPLIER_ID,WAREHOUSE_ID,BATCH_NO,BUSINESS_DATE,INSPECTION_DATE,LOT_QUANTITY,SAMPLE_QUANTITY,INSPECTOR_ID,RESULT,DOC_STATUS,APPROVE_STATUS,POSTED,POSTED_AT,POSTED_BY,APPROVED_BY,APPROVED_AT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,8711,@var:ErpQaInspection@code,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,ACCEPTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8712,@var:ErpQaInspection@code_1,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,ACCEPTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8713,@var:ErpQaInspection@code_2,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,ACCEPTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8721,@var:ErpQaInspection@code_3,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8722,@var:ErpQaInspection@code_4,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8723,@var:ErpQaInspection@code_5,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8724,@var:ErpQaInspection@code_6,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8725,@var:ErpQaInspection@code_7,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8726,@var:ErpQaInspection@code_8,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
A,8727,@var:ErpQaInspection@code_9,8401,INCOMING,,,,8201,,8001,,,@var:ErpQaInspection@businessDate_7,2026-06-10,,,,REJECTED,APPROVED,APPROVED,false,,,,,,@var:ErpQaInspection@delVersion,0,autotest-ref,*,autotest-ref,*
