_chgType,SID,BIZ_OBJ_NAME,OBJ_ID,BIZ_KEY,OPERATION_NAME,PROP_NAME,OLD_VALUE,NEW_VALUE,CHANGE_TIME,APP_ID,OPERATOR_ID,APPROVER_ID
A,@var:NopSysChangeLog@sid_22,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,amountKey,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_13,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,updatedBy,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_15,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,id,,@var:NopSysChangeLog@newValue_10,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_19,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,dcDirection,,@var:NopSysChangeLog@newValue_14,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_23,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,memoTemplate,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_21,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,accountKey,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_3,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,acctSchemaId,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_5,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,voucherType,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_24,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,delVersion,,@var:NopSysChangeLog@newValue_5,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_12,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,createTime,,@var:NopSysChangeLog@newValue_9,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_1,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,code,,@var:NopSysChangeLog@newValue_1,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_6,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,templateType,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_28,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,updateTime,,@var:NopSysChangeLog@newValue_17,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_9,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,validTo,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_27,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,updatedBy,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_17,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,lineNo,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_10,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,delVersion,,@var:NopSysChangeLog@newValue_5,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,id,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_14,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,updateTime,,@var:NopSysChangeLog@newValue_9,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_4,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,businessType,,@var:NopSysChangeLog@newValue_3,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_18,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,subjectCode,,@var:NopSysChangeLog@newValue_13,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_16,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,templateId,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_8,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,validFrom,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_2,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,name,,@var:NopSysChangeLog@newValue_2,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_7,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,isActive,,@var:NopSysChangeLog@newValue_4,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_20,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,amountExpression,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_11,ErpFinVoucherTemplate,1,SMOKE-FIN,ErpFinVoucherTemplate__save,createdBy,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_26,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,createTime,,@var:NopSysChangeLog@newValue_17,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_25,ErpFinVoucherTemplateLine,2,,ErpFinVoucherTemplateLine__save,createdBy,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
