_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,11,10,1,4,6601,销售费用,DEBIT,50,0,1,1,50,50,1,,,,,,,,,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,12,10,2,2,1001,库存现金,CREDIT,0,50,1,1,50,50,1,,,,,,,,,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,14,13,1,5,6401,主营业务成本,DEBIT,30,0,1,1,30,30,1,,,,,,,,,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,15,13,2,2,1001,库存现金,CREDIT,0,30,1,1,30,30,1,,,,,,,,,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,18,17,1,3,6001,主营业务收入,DEBIT,150.0000,0,1,1,150.0000,150.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,19,17,2,4,6601,销售费用,CREDIT,0,50.0000,1,1,50.0000,50.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,20,17,3,5,6401,主营业务成本,CREDIT,0,30.0000,1,1,30.0000,30.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,21,17,4,6,4103,本年利润,CREDIT,0,150.0000,1,1,150.0000,150.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,22,17,5,6,4103,本年利润,DEBIT,80.0000,0,1,1,80.0000,80.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,8,7,1,2,1001,库存现金,DEBIT,150,0,1,1,150,150,1,,,,,,,,,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
A,9,7,2,3,6001,主营业务收入,CREDIT,0,150,1,1,150,150,1,,,,,,,,,,@var:ErpFinVoucherLine@delVersion_10,0,autotest-ref,*,autotest-ref,*
