_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,10,9,1,2,1001,库存现金,DEBIT,100,0,1,1,100,100,1,,,,,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,11,9,2,3,6001,主营业务收入,CREDIT,0,100,1,1,100,100,1,,,,,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,15,14,1,6,1122,应收账款,DEBIT,50.00000,0,1,1,50.00000,50.00000,1,,期末汇兑重估-AR/AP,1,,,,,EXCHANGE_GAIN_LOSS,,0,0,autotest-ref,*,autotest-ref,*
A,16,14,2,8,6603,汇兑损益,CREDIT,0,50.00000,1,1,50.00000,50.00000,1,,期末汇兑重估-AR/AP,,,,,,EXCHANGE_GAIN_LOSS,,0,0,autotest-ref,*,autotest-ref,*
A,19,18,1,3,6001,主营业务收入,DEBIT,100.0000,0,1,1,100.0000,100.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,20,18,2,8,6603,汇兑损益,CREDIT,0,-50.00000,1,1,-50.00000,-50.00000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,21,18,3,5,4103,本年利润,CREDIT,0,100.0000,1,1,100.0000,100.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,22,18,4,5,4103,本年利润,DEBIT,-50.00000,0,1,1,-50.00000,-50.00000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,30,29,1,3,6001,主营业务收入,DEBIT,-100.0000,0,1,1.00000000,-100.0000,-100.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,31,29,2,8,6603,汇兑损益,CREDIT,0,50.0000,1,1.00000000,50.0000,50.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,32,29,3,5,4103,本年利润,CREDIT,0,-100.0000,1,1.00000000,-100.0000,-100.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,33,29,4,5,4103,本年利润,DEBIT,50.0000,0,1,1.00000000,50.0000,50.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,36,35,1,6,1122,应收账款,DEBIT,-50.0000,0,1,1.00000000,-50.0000,-50.0000,1,,期末汇兑重估-AR/AP,1,,,,,EXCHANGE_GAIN_LOSS,,0,0,autotest-ref,*,autotest-ref,*
A,37,35,2,8,6603,汇兑损益,CREDIT,0,-50.0000,1,1.00000000,-50.0000,-50.0000,1,,期末汇兑重估-AR/AP,,,,,,EXCHANGE_GAIN_LOSS,,0,0,autotest-ref,*,autotest-ref,*
A,40,39,1,6,1122,应收账款,DEBIT,50.00000,0,1,1,50.00000,50.00000,1,,期末汇兑重估-AR/AP,1,,,,,EXCHANGE_GAIN_LOSS,,0,0,autotest-ref,*,autotest-ref,*
A,41,39,2,8,6603,汇兑损益,CREDIT,0,50.00000,1,1,50.00000,50.00000,1,,期末汇兑重估-AR/AP,,,,,,EXCHANGE_GAIN_LOSS,,0,0,autotest-ref,*,autotest-ref,*
A,44,43,1,3,6001,主营业务收入,DEBIT,100.0000,0,1,1,100.0000,100.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,45,43,2,8,6603,汇兑损益,CREDIT,0,-50.00000,1,1,-50.00000,-50.00000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,46,43,3,5,4103,本年利润,CREDIT,0,100.0000,1,1,100.0000,100.0000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
A,47,43,4,5,4103,本年利润,DEBIT,-50.00000,0,1,1,-50.00000,-50.00000,1,,期末损益结转,,,,,,PERIOD_CLOSE,,0,0,autotest-ref,*,autotest-ref,*
