_chgType,SID,BIZ_OBJ_NAME,OBJ_ID,BIZ_KEY,OPERATION_NAME,PROP_NAME,OLD_VALUE,NEW_VALUE,CHANGE_TIME,APP_ID,OPERATOR_ID,APPROVER_ID
A,@var:NopSysChangeLog@sid_7,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,isActive,,@var:NopSysChangeLog@newValue_5,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_19,ErpFinVoucherTemplateLine,2,,save,dcDirection,,@var:NopSysChangeLog@newValue_15,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,id,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_9,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,validTo,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_5,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,voucherType,,@var:NopSysChangeLog@newValue_4,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_27,ErpFinVoucherTemplateLine,2,,save,updatedBy,,@var:NopSysChangeLog@newValue_20,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_10,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,delVersion,,@var:NopSysChangeLog@newValue_6,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_18,ErpFinVoucherTemplateLine,2,,save,subjectCode,,@var:NopSysChangeLog@newValue_14,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_1,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,code,,@var:NopSysChangeLog@newValue_1,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_16,ErpFinVoucherTemplateLine,2,,save,templateId,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_25,ErpFinVoucherTemplateLine,2,,save,createdBy,,@var:NopSysChangeLog@newValue_20,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_28,ErpFinVoucherTemplateLine,2,,save,updateTime,,@var:NopSysChangeLog@newValue_21,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_14,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,updateTime,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_21,ErpFinVoucherTemplateLine,2,,save,accountKey,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_26,ErpFinVoucherTemplateLine,2,,save,createTime,,@var:NopSysChangeLog@newValue_21,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_17,ErpFinVoucherTemplateLine,2,,save,lineNo,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_6,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,templateType,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_8,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,validFrom,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_15,ErpFinVoucherTemplateLine,2,,save,id,,@var:NopSysChangeLog@newValue_11,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_11,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,createdBy,,@var:NopSysChangeLog@newValue_20,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_13,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,updatedBy,,@var:NopSysChangeLog@newValue_20,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_23,ErpFinVoucherTemplateLine,2,,save,memoTemplate,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_12,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,createTime,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_4,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,businessType,,@var:NopSysChangeLog@newValue_3,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_20,ErpFinVoucherTemplateLine,2,,save,amountExpression,,,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_22,ErpFinVoucherTemplateLine,2,,save,amountKey,,@var:NopSysChangeLog@newValue_16,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_24,ErpFinVoucherTemplateLine,2,,save,delVersion,,@var:NopSysChangeLog@newValue_6,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_2,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,name,,@var:NopSysChangeLog@newValue_2,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_3,ErpFinVoucherTemplate,1,TPL-AUDIT-LINE-001,save,acctSchemaId,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
