_chgType,SID,BIZ_OBJ_NAME,OBJ_ID,BIZ_KEY,OPERATION_NAME,PROP_NAME,OLD_VALUE,NEW_VALUE,CHANGE_TIME,APP_ID,OPERATOR_ID,APPROVER_ID
A,@var:NopSysChangeLog@sid_11,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,createdBy,,@var:NopSysChangeLog@newValue_9,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_8,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,validFrom,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_2,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,name,,@var:NopSysChangeLog@newValue_2,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_9,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,validTo,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_18,ErpFinVoucherTemplate,1,TPL-AUDIT-001,update,updateTime,@var:NopSysChangeLog@oldValue_3,@var:NopSysChangeLog@newValue_14,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_15,ErpFinVoucherTemplate,1,TPL-AUDIT-001,update,name,@var:NopSysChangeLog@oldValue,@var:NopSysChangeLog@newValue_11,@var:NopSysChangeLog@changeTime_16,nop-app,autotest,
A,@var:NopSysChangeLog@sid_6,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,templateType,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_1,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,code,,@var:NopSysChangeLog@newValue_1,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_17,ErpFinVoucherTemplate,1,TPL-AUDIT-001,update,delVersion,@var:NopSysChangeLog@oldValue_2,@var:NopSysChangeLog@newValue_13,@var:NopSysChangeLog@changeTime_18,nop-app,autotest,
A,@var:NopSysChangeLog@sid_4,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,businessType,,@var:NopSysChangeLog@newValue_3,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_7,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,isActive,,@var:NopSysChangeLog@newValue_5,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_12,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,createTime,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,id,,@var:NopSysChangeLog@newValue,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_16,ErpFinVoucherTemplate,1,TPL-AUDIT-001,update,updateTime,@var:NopSysChangeLog@oldValue_1,@var:NopSysChangeLog@newValue_12,@var:NopSysChangeLog@changeTime_16,nop-app,autotest,
A,@var:NopSysChangeLog@sid_5,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,voucherType,,@var:NopSysChangeLog@newValue_4,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_14,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,updateTime,,@var:NopSysChangeLog@newValue_8,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_10,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,delVersion,,@var:NopSysChangeLog@newValue_6,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_13,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,updatedBy,,@var:NopSysChangeLog@newValue_9,@var:NopSysChangeLog@changeTime,nop-app,autotest,
A,@var:NopSysChangeLog@sid_3,ErpFinVoucherTemplate,1,TPL-AUDIT-001,save,acctSchemaId,,,@var:NopSysChangeLog@changeTime,nop-app,autotest,
