_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,13,12,1,6,1221,其他应收款-员工预支,DEBIT,500.0000,0,1,1.00000000,500.0000,500.0000,2,,,7701,,,,,EMPLOYEE_ADVANCE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,14,12,2,7,1002,银行存款,CREDIT,0,500.0000,1,1.00000000,500.0000,500.0000,2,,,,,,,,EMPLOYEE_ADVANCE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,18,17,1,3,6602,管理费用,DEBIT,100.0000,0,1,1.00000000,100.0000,100.0000,2,,,,,,,,EXPENSE_CLAIM,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,19,17,2,4,2221,应交税费-进项税额,DEBIT,13.0000,0,1,1.00000000,13.0000,13.0000,2,,,,,,,,EXPENSE_CLAIM,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,20,17,3,5,2241,其他应付款-员工,CREDIT,0,113.0000,1,1.00000000,113.0000,113.0000,2,,,7701,,,,,EXPENSE_CLAIM,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,24,23,1,5,2241,其他应付款-员工,DEBIT,113.0000,0,1,1,113.0000,113.0000,2,,,7701,,,,,EMPLOYEE_ADVANCE_SETTLE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,25,23,2,6,1221,其他应收款-员工预支,CREDIT,0,113.0000,1,1,113.0000,113.0000,2,,,7701,,,,,EMPLOYEE_ADVANCE_SETTLE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,28,27,1,5,2241,其他应付款-员工,DEBIT,-113.0000,0,1,1.00000000,-113.0000,-113.0000,2,,,7701,,,,,EMPLOYEE_ADVANCE_SETTLE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,29,27,2,6,1221,其他应收款-员工预支,CREDIT,0,-113.0000,1,1.00000000,-113.0000,-113.0000,2,,,7701,,,,,EMPLOYEE_ADVANCE_SETTLE,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,32,31,1,3,6602,管理费用,DEBIT,-100.0000,0,1,1.00000000,-100.0000,-100.0000,2,,,,,,,,EXPENSE_CLAIM,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,33,31,2,4,2221,应交税费-进项税额,DEBIT,-13.0000,0,1,1.00000000,-13.0000,-13.0000,2,,,,,,,,EXPENSE_CLAIM,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
A,34,31,3,5,2241,其他应付款-员工,CREDIT,0,-113.0000,1,1.00000000,-113.0000,-113.0000,2,,,7701,,,,,EXPENSE_CLAIM,,@var:ErpFinVoucherLine@delVersion_11,0,autotest-ref,*,autotest-ref,*
