_chgType,ID,EQUIPMENT_ID,FROM_STATUS,TO_STATUS,CHANGE_AT,SOURCE,SOURCE_BILL_CODE,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,72011,71001,,RUNNING,@var:ErpMntEquipmentStatusLog@changeAt,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72012,71001,RUNNING,IDLE,@var:ErpMntEquipmentStatusLog@changeAt_1,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72013,71001,IDLE,RUNNING,@var:ErpMntEquipmentStatusLog@changeAt_2,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72014,71001,RUNNING,IDLE,@var:ErpMntEquipmentStatusLog@changeAt_3,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72015,71001,IDLE,RUNNING,@var:ErpMntEquipmentStatusLog@changeAt_4,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72016,71001,RUNNING,DOWN,@var:ErpMntEquipmentStatusLog@changeAt_5,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72017,71001,DOWN,RUNNING,@var:ErpMntEquipmentStatusLog@changeAt_6,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72018,71001,RUNNING,IDLE,@var:ErpMntEquipmentStatusLog@changeAt_7,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72019,71001,IDLE,RUNNING,@var:ErpMntEquipmentStatusLog@changeAt_8,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
A,72020,71001,RUNNING,IDLE,@var:ErpMntEquipmentStatusLog@changeAt_9,MANUAL,,,0,0,autotest-ref,*,autotest-ref,*
