_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,11,10,1,2,1401,库存商品,DEBIT,50,0,6601,1,50,50,7601,,,,,,3601,2402,PURCHASE_INPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,12,10,2,5,2202,应付账款-暂估,CREDIT,0,50,6601,1,50,50,7601,,,,,,3601,2402,PURCHASE_INPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,19,18,1,2,1401,原材料存货,CREDIT,0,10.0000,6601,1.00000000,10.0000,10.0000,7601,,委外发料（SUB-RV / MAT-2402）,,,,,,SUBCONTRACT_ISSUE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,20,18,2,4,1408,委外物资,DEBIT,10.0000,0,6601,1.00000000,10.0000,10.0000,7601,,委外发料（SUB-RV）,,,,,,SUBCONTRACT_ISSUE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,28,27,1,3,1405,产成品,DEBIT,50.0000,0,6601,1.00000000,50.0000,50.0000,7601,,委外收货（SUB-RV / MAT-2401）,,,,,,SUBCONTRACT_RECEIPT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,29,27,2,4,1408,委外物资,CREDIT,0,50.0000,6601,1.00000000,50.0000,50.0000,7601,,委外收货（SUB-RV）,,,,,,SUBCONTRACT_RECEIPT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,32,31,1,4,1408,委外物资,DEBIT,50.0000,0,6601,1.00000000,50.0000,50.0000,7601,,委外加工费（SUB-RV）,,,,,,SUBCONTRACT_FEE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,33,31,2,5,2202,应付账款,CREDIT,0,50.0000,6601,1.00000000,50.0000,50.0000,7601,,委外加工费（SUB-RV）,,,,,,SUBCONTRACT_FEE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,36,35,1,4,1408,委外物资,DEBIT,-50.0000,0,6601,1.00000000,-50.0000,-50.0000,7601,,委外加工费（SUB-RV）,,,,,,SUBCONTRACT_FEE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,37,35,2,5,2202,应付账款,CREDIT,0,-50.0000,6601,1.00000000,-50.0000,-50.0000,7601,,委外加工费（SUB-RV）,,,,,,SUBCONTRACT_FEE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,40,39,1,3,1405,产成品,DEBIT,-50.0000,0,6601,1.00000000,-50.0000,-50.0000,7601,,委外收货（SUB-RV / MAT-2401）,,,,,,SUBCONTRACT_RECEIPT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,41,39,2,4,1408,委外物资,CREDIT,0,-50.0000,6601,1.00000000,-50.0000,-50.0000,7601,,委外收货（SUB-RV）,,,,,,SUBCONTRACT_RECEIPT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,44,43,1,2,1401,原材料存货,CREDIT,0,-10.0000,6601,1.00000000,-10.0000,-10.0000,7601,,委外发料（SUB-RV / MAT-2402）,,,,,,SUBCONTRACT_ISSUE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,45,43,2,4,1408,委外物资,DEBIT,-10.0000,0,6601,1.00000000,-10.0000,-10.0000,7601,,委外发料（SUB-RV）,,,,,,SUBCONTRACT_ISSUE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
