_chgType,ID,WORK_ORDER_ID,LINE_NO,VARIANCE_TYPE,COST_ELEMENT,MATERIAL_ID,OPERATION_ID,STANDARD_AMOUNT,ACTUAL_AMOUNT,VARIANCE_AMOUNT,VARIANCE_PERCENT,STANDARD_QTY,ACTUAL_QTY,STANDARD_PRICE,ACTUAL_PRICE,WORKCENTER_ID,BUSINESS_DATE,POSTED,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,10,8252,30,LABOR_RATE,LABOR,1251,,0.0000,35.0000,35.0000,0.0000,0.0000,0.0000,20.0000,0.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion_22,4,autotest-ref,*,autotest-ref,*
A,11,8252,40,OVERHEAD,OVERHEAD,1251,,10.0000,8.0000,-2.0000,-20.0000,2.0000,2.0000,5.0000,4.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion_22,4,autotest-ref,*,autotest-ref,*
A,12,8252,50,VOLUME,MATERIAL,1251,,50.0000,50.0000,0.0000,0.0000,2.0000,2.0000,25.0000,25.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion_22,4,autotest-ref,*,autotest-ref,*
A,29,8252,10,MATERIAL_USAGE,MATERIAL,1251,,20.0000,25.0000,5.0000,25.0000,2.0000,2.0000,10.0000,12.5000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion,1,autotest-ref,*,autotest-ref,*
A,30,8252,20,LABOR_EFFICIENCY,LABOR,1251,,20.0000,0.0000,-20.0000,-100.0000,120.0000,0.0000,20.0000,20.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion,1,autotest-ref,*,autotest-ref,*
A,31,8252,30,LABOR_RATE,LABOR,1251,,0.0000,35.0000,35.0000,0,0.0000,0.0000,20.0000,0.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion,1,autotest-ref,*,autotest-ref,*
A,32,8252,40,OVERHEAD,OVERHEAD,1251,,10.0000,8.0000,-2.0000,-20.0000,2.0000,2.0000,5.0000,4.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion,1,autotest-ref,*,autotest-ref,*
A,33,8252,50,VOLUME,MATERIAL,1251,,50.0000,50.0000,0.0000,0.0000,2.0000,2.0000,25.0000,25.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion,1,autotest-ref,*,autotest-ref,*
A,8,8252,10,MATERIAL_USAGE,MATERIAL,1251,,20.0000,25.0000,5.0000,25.0000,2.0000,2.0000,10.0000,12.5000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion_23,4,autotest-ref,*,autotest-ref,*
A,9,8252,20,LABOR_EFFICIENCY,LABOR,1251,,20.0000,0.0000,-20.0000,-100.0000,120.0000,0.0000,20.0000,20.0000,6251,@var:ErpMfgCostVariance@businessDate,true,,@var:ErpMfgCostVariance@delVersion_22,4,autotest-ref,*,autotest-ref,*
