_chgType,ID,PROJECT_ID,PARENT_TASK_ID,TITLE,ASSIGNEE_ID,PLANNED_START_DATE,PLANNED_END_DATE,ACTUAL_START_DATE,ACTUAL_END_DATE,ESTIMATED_HOURS,ACTUAL_HOURS,DEPENDS_ON_ID,STATUS,PRIORITY,BLOCK_REASON,SORT_NUM,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,10,1,,A94,,,,,,,,9,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,100,1,,A4,,,,,,,,99,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,101,1,,A3,,,,,,,,100,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,102,1,,A2,,,,,,,,101,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,103,1,,A1,,,,,,,,102,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,11,1,,A93,,,,,,,,10,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,12,1,,A92,,,,,,,,11,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,13,1,,A91,,,,,,,,12,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,14,1,,A90,,,,,,,,13,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,15,1,,A89,,,,,,,,14,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,16,1,,A88,,,,,,,,15,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,17,1,,A87,,,,,,,,16,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,18,1,,A86,,,,,,,,17,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,19,1,,A85,,,,,,,,18,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,2,1,,A102,,,,,,,,,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,20,1,,A84,,,,,,,,19,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,21,1,,A83,,,,,,,,20,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,22,1,,A82,,,,,,,,21,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,23,1,,A81,,,,,,,,22,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,24,1,,A80,,,,,,,,23,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,25,1,,A79,,,,,,,,24,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,26,1,,A78,,,,,,,,25,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,27,1,,A77,,,,,,,,26,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,28,1,,A76,,,,,,,,27,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,29,1,,A75,,,,,,,,28,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,3,1,,A101,,,,,,,,2,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,30,1,,A74,,,,,,,,29,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,31,1,,A73,,,,,,,,30,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,32,1,,A72,,,,,,,,31,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,33,1,,A71,,,,,,,,32,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,34,1,,A70,,,,,,,,33,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,35,1,,A69,,,,,,,,34,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,36,1,,A68,,,,,,,,35,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,37,1,,A67,,,,,,,,36,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,38,1,,A66,,,,,,,,37,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,39,1,,A65,,,,,,,,38,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,4,1,,A100,,,,,,,,3,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,40,1,,A64,,,,,,,,39,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,41,1,,A63,,,,,,,,40,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,42,1,,A62,,,,,,,,41,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,43,1,,A61,,,,,,,,42,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,44,1,,A60,,,,,,,,43,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,45,1,,A59,,,,,,,,44,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,46,1,,A58,,,,,,,,45,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,47,1,,A57,,,,,,,,46,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,48,1,,A56,,,,,,,,47,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,49,1,,A55,,,,,,,,48,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,5,1,,A99,,,,,,,,4,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,50,1,,A54,,,,,,,,49,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,51,1,,A53,,,,,,,,50,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,52,1,,A52,,,,,,,,51,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,53,1,,A51,,,,,,,,52,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,54,1,,A50,,,,,,,,53,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,55,1,,A49,,,,,,,,54,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,56,1,,A48,,,,,,,,55,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,57,1,,A47,,,,,,,,56,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,58,1,,A46,,,,,,,,57,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,59,1,,A45,,,,,,,,58,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,6,1,,A98,,,,,,,,5,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,60,1,,A44,,,,,,,,59,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,61,1,,A43,,,,,,,,60,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,62,1,,A42,,,,,,,,61,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,63,1,,A41,,,,,,,,62,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,64,1,,A40,,,,,,,,63,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,65,1,,A39,,,,,,,,64,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,66,1,,A38,,,,,,,,65,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,67,1,,A37,,,,,,,,66,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,68,1,,A36,,,,,,,,67,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,69,1,,A35,,,,,,,,68,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,7,1,,A97,,,,,,,,6,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,70,1,,A34,,,,,,,,69,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,71,1,,A33,,,,,,,,70,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
A,72,1,,A32,,,,,,,,71,DONE,,,,,@var:ErpPrjTask@delVersion_82,0,autotest-ref,*,autotest-ref,*
