_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,13,12,1,2,1401,库存商品,DEBIT,50.00000000,0,6401,1,50.00000000,50.00000000,7401,,,,,,3401,4401,PURCHASE_INPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,14,12,2,3,2202,应付账款-暂估,CREDIT,0,50.00000000,6401,1,50.00000000,50.00000000,7401,,,,,,3401,4401,PURCHASE_INPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,19,18,1,4,1403,在途物资,DEBIT,50.0000,0,6401,1.00000000,50.0000,50.0000,7401,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,20,18,2,5,2221,应交税费-进项税额,DEBIT,6.5000,0,6401,1.00000000,6.5000,6.5000,7401,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,21,18,3,3,2202,应付账款,CREDIT,0,56.5000,6401,1.00000000,56.5000,56.5000,7401,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,26,25,1,3,2202,应付账款,DEBIT,56.5000,0,6401,1.00000000,56.5000,56.5000,7401,,,,,,,,PAYMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,27,25,2,6,1002,银行存款,CREDIT,0,56.5000,6401,1.00000000,56.5000,56.5000,7401,,,,,,,,PAYMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,33,32,1,3,2202,应付账款,DEBIT,-56.5000,0,6401,1.00000000,-56.5000,-56.5000,7401,,,,,,,,PAYMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,34,32,2,6,1002,银行存款,CREDIT,0,-56.5000,6401,1.00000000,-56.5000,-56.5000,7401,,,,,,,,PAYMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,37,36,1,4,1403,在途物资,DEBIT,-50.0000,0,6401,1.00000000,-50.0000,-50.0000,7401,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,38,36,2,5,2221,应交税费-进项税额,DEBIT,-6.5000,0,6401,1.00000000,-6.5000,-6.5000,7401,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,39,36,3,3,2202,应付账款,CREDIT,0,-56.5000,6401,1.00000000,-56.5000,-56.5000,7401,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
