_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,13,12,1,3,1401,库存商品,DEBIT,50.00000000,0,11601,1,50.00000000,50.00000000,11701,,,,,,11301,11401,PURCHASE_INPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,14,12,2,4,2202,应付账款-暂估,CREDIT,0,50.00000000,11601,1,50.00000000,50.00000000,11701,,,,,,11301,11401,PURCHASE_INPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,17,16,1,2,1408,承付占用科目,DEBIT,50.0000,0,1,1,50.0000,50.0000,1,11101,订单承付占用,,,,,,PURCHASE_ORDER_COMMITMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,23,22,1,4,2202,应付账款-暂估,DEBIT,15.000000000000,0,11601,1.00000000,15.0000,15.000000000000,11701,,,,,,,,PURCHASE_RETURN,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,24,22,2,3,1401,库存商品,CREDIT,0,15.000000000000,11601,1.00000000,15.0000,15.000000000000,11701,,,,,,,,PURCHASE_RETURN,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,28,27,1,2,1408,承付占用科目,DEBIT,0.0000,50.0000,1,1.00000000,50.0000,50.0000,1,11101,承付释放红冲,,,,,,PURCHASE_ORDER_COMMITMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,33,32,1,5,1403,在途物资,DEBIT,50.000000000000,0,11601,1.00000000,50.0000,50.000000000000,11701,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,34,32,2,6,2221,应交税费-进项税额,DEBIT,6.500000000000,0,11601,1.00000000,6.5000,6.500000000000,11701,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,35,32,3,4,2202,应付账款,CREDIT,0,56.500000000000,11601,1.00000000,56.5000,56.500000000000,11701,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,39,38,1,5,1403,在途物资,DEBIT,-50.0000,0,11601,1.00000000,-50.0000,-50.0000,11701,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,40,38,2,6,2221,应交税费-进项税额,DEBIT,-6.5000,0,11601,1.00000000,-6.5000,-6.5000,11701,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,41,38,3,4,2202,应付账款,CREDIT,0,-56.5000,11601,1.00000000,-56.5000,-56.5000,11701,,,,,,,,AP_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,44,43,1,2,1408,承付占用科目,DEBIT,50.0000,0,1,1,50.0000,50.0000,1,11101,订单承付占用,,,,,,PURCHASE_ORDER_COMMITMENT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
