_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,13,12,1,2,1401,库存商品,DEBIT,50.00000000,0,8601,1,50.00000000,50.00000000,9601,,*,,,,5601,6601,PURCHASE_INPUT,,*,0,autotest-ref,*,autotest-ref,*
A,14,12,2,3,2202,应付账款-暂估,CREDIT,0,50.00000000,8601,1,50.00000000,50.00000000,9601,,*,,,,5601,6601,PURCHASE_INPUT,,*,0,autotest-ref,*,autotest-ref,*
A,18,17,1,4,1403,在途物资,DEBIT,50.0000,0,8601,1.00000000,50.0000,50.0000,9601,,PI-E2E-001,,,,,,AP_INVOICE,,*,0,autotest-ref,*,autotest-ref,*
A,19,17,2,5,2221,应交税费-进项税额,DEBIT,6.5000,0,8601,1.00000000,6.5000,6.5000,9601,,PI-E2E-001,,,,,,AP_INVOICE,,*,0,autotest-ref,*,autotest-ref,*
A,20,17,3,3,2202,应付账款,CREDIT,0,56.5000,8601,1.00000000,56.5000,56.5000,9601,,PI-E2E-001,,,,,,AP_INVOICE,,*,0,autotest-ref,*,autotest-ref,*
A,24,23,1,3,2202,应付账款,DEBIT,56.5000,0,8601,1.00000000,56.5000,56.5000,9601,,PY-E2E-001,,,,,,PAYMENT,,*,0,autotest-ref,*,autotest-ref,*
A,25,23,2,6,1002,银行存款,CREDIT,0,56.5000,8601,1.00000000,56.5000,56.5000,9601,,PY-E2E-001,,,,,,PAYMENT,,*,0,autotest-ref,*,autotest-ref,*
A,34,33,1,3,2202,应付账款-暂估,DEBIT,20.0000,0,8601,1.00000000,20.0000,20.0000,9601,,RT-E2E-001,,,,,,PURCHASE_RETURN,,*,0,autotest-ref,*,autotest-ref,*
A,35,33,2,2,1401,库存商品,CREDIT,0,20.0000,8601,1.00000000,20.0000,20.0000,9601,,RT-E2E-001,,,,,,PURCHASE_RETURN,,*,0,autotest-ref,*,autotest-ref,*
A,39,38,1,3,2202,应付账款-暂估,DEBIT,-20.0000,0,8601,1.00000000,-20.0000,-20.0000,9601,,RT-E2E-001,,,,,,PURCHASE_RETURN,,*,0,autotest-ref,*,autotest-ref,*
A,40,38,2,2,1401,库存商品,CREDIT,0,-20.0000,8601,1.00000000,-20.0000,-20.0000,9601,,RT-E2E-001,,,,,,PURCHASE_RETURN,,*,0,autotest-ref,*,autotest-ref,*
