_chgType,ID,CODE,ORG_ID,INSPECTION_TYPE,RELATED_BILL_TYPE,RELATED_BILL_CODE,RELATED_LINE_CODE,MATERIAL_ID,TEMPLATE_ID,SUPPLIER_ID,WAREHOUSE_ID,BATCH_NO,BUSINESS_DATE,INSPECTION_DATE,LOT_QUANTITY,SAMPLE_QUANTITY,INSPECTOR_ID,RESULT,DOC_STATUS,APPROVE_STATUS,POSTED,POSTED_AT,POSTED_BY,APPROVED_BY,APPROVED_AT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,82477,@var:ErpQaInspection@code_39,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82478,@var:ErpQaInspection@code_38,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82479,@var:ErpQaInspection@code_37,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82480,@var:ErpQaInspection@code_36,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82481,@var:ErpQaInspection@code_35,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82482,@var:ErpQaInspection@code_34,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82483,@var:ErpQaInspection@code_33,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82484,@var:ErpQaInspection@code_32,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82485,@var:ErpQaInspection@code_31,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82486,@var:ErpQaInspection@code_30,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82508,@var:ErpQaInspection@code_29,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82509,@var:ErpQaInspection@code_28,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82510,@var:ErpQaInspection@code_27,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82511,@var:ErpQaInspection@code_26,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82512,@var:ErpQaInspection@code_25,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82513,@var:ErpQaInspection@code_24,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82514,@var:ErpQaInspection@code_23,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82515,@var:ErpQaInspection@code_22,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82516,@var:ErpQaInspection@code_21,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82517,@var:ErpQaInspection@code_20,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82539,@var:ErpQaInspection@code_19,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82540,@var:ErpQaInspection@code_18,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82541,@var:ErpQaInspection@code_17,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82542,@var:ErpQaInspection@code_16,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82543,@var:ErpQaInspection@code_15,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82544,@var:ErpQaInspection@code_14,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82545,@var:ErpQaInspection@code_13,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82546,@var:ErpQaInspection@code_12,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82547,@var:ErpQaInspection@code_11,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,82548,@var:ErpQaInspection@code_10,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,89108,@var:ErpQaInspection@code_9,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,89109,@var:ErpQaInspection@code_8,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
A,89110,@var:ErpQaInspection@code_7,,INCOMING,,,,7701,,,,,@var:ErpQaInspection@businessDate_29,*,,,7801,REJECTED,ACTIVE,APPROVED,false,,,,,,0,0,autotest-ref,*,autotest-ref,*
