_chgType,ID,INSPECTION_ID,LINE_NO,PARAMETER_ID,PARAMETER_NAME,SPEC_MIN,SPEC_MAX,MEASURED_VALUE,UNIT,RESULT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,IS_CRITICAL
A,8247701,82477,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247702,82477,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247703,82477,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247704,82477,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247705,82477,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247801,82478,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247802,82478,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247803,82478,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247804,82478,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247805,82478,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247901,82479,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247902,82479,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247903,82479,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247904,82479,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8247905,82479,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248001,82480,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248002,82480,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248003,82480,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248004,82480,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248005,82480,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248101,82481,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248102,82481,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248103,82481,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248104,82481,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248105,82481,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248201,82482,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248202,82482,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248203,82482,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248204,82482,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248205,82482,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248301,82483,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248302,82483,2,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248303,82483,3,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248304,82483,4,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248305,82483,5,8901,尺寸,,,1,,ACCEPTED,,0,0,autotest-ref,*,autotest-ref,*,
A,8248401,82484,1,8901,尺寸,,,1,,REJECTED,,0,0,autotest-ref,*,autotest-ref,*,
