_chgType,ID,CHART_ID,ORG_ID,SUBGROUP_NO,SAMPLE_TIME,MEASURED_VALUES,MEAN,RANGE,STD_DEV,SOURCE_BILL_TYPE,SOURCE_CODE,SOURCE_LINE_CODE,INSPECTOR_ID,VIOLATED_RULES,IS_OUT_OF_CONTROL,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME,DEFECT_COUNT,INSPECTED_COUNT
A,1,74333,,1,@var:ErpQaSpcSample@sampleTime,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC0,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,10,74333,,10,@var:ErpQaSpcSample@sampleTime_9,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC18,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,11,74333,,11,@var:ErpQaSpcSample@sampleTime_10,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC20,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,12,74333,,12,@var:ErpQaSpcSample@sampleTime_11,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC22,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,13,74333,,13,@var:ErpQaSpcSample@sampleTime_12,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC24,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,14,74333,,14,@var:ErpQaSpcSample@sampleTime_13,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC26,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,15,74333,,15,@var:ErpQaSpcSample@sampleTime_14,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC28,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,16,74333,,16,@var:ErpQaSpcSample@sampleTime_15,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC30,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,17,74333,,17,@var:ErpQaSpcSample@sampleTime_16,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC32,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,18,74333,,18,@var:ErpQaSpcSample@sampleTime_17,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC34,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,19,74333,,19,@var:ErpQaSpcSample@sampleTime_18,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC36,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,2,74333,,2,@var:ErpQaSpcSample@sampleTime_1,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC2,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,20,74333,,20,@var:ErpQaSpcSample@sampleTime_19,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC38,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,3,74333,,3,@var:ErpQaSpcSample@sampleTime_2,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC4,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,4,74333,,4,@var:ErpQaSpcSample@sampleTime_3,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC6,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,5,74333,,5,@var:ErpQaSpcSample@sampleTime_4,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC8,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,6,74333,,6,@var:ErpQaSpcSample@sampleTime_5,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC10,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,7,74333,,7,@var:ErpQaSpcSample@sampleTime_6,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC12,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,8,74333,,8,@var:ErpQaSpcSample@sampleTime_7,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC14,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
A,9,74333,,9,@var:ErpQaSpcSample@sampleTime_8,,0.200000,0.000000,0.000000,ERP_QA_INSPECTION,INS-ATTR-RECALC16,2,7801,,false,,0,0,autotest-ref,*,autotest-ref,*,2,10
