_chgType,ID,INSPECTION_ID,LINE_NO,PARAMETER_ID,PARAMETER_NAME,SPEC_MIN,SPEC_MAX,MEASURED_VALUE,UNIT,RESULT,REMARK,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,8453501,84535,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8453601,84536,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8453701,84537,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8453801,84538,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8453901,84539,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8454001,84540,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8454101,84541,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8454201,84542,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8454301,84543,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8454401,84544,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8456601,84566,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8456701,84567,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8456801,84568,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8456901,84569,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8457001,84570,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8457101,84571,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8457201,84572,1,8801,尺寸,,,11,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8457301,84573,1,8801,尺寸,,,12,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8457401,84574,1,8801,尺寸,,,13,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8457501,84575,1,8801,尺寸,,,14,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
A,8459701,84597,1,8801,尺寸,,,10,,ACCEPTED,,@var:ErpQaInspectionLine@delVersion_4,0,autotest-ref,*,autotest-ref,*
