_chgType,ID,VOUCHER_ID,LINE_NO,SUBJECT_ID,SUBJECT_CODE,SUBJECT_NAME,DC_DIRECTION,DEBIT_AMOUNT,CREDIT_AMOUNT,CURRENCY_ID,EXCHANGE_RATE,AMOUNT_SOURCE,AMOUNT_FUNCTIONAL,ACCT_SCHEMA_ID,ORG_ID,MEMO,PARTNER_ID,DEPARTMENT_ID,PROJECT_ID,WAREHOUSE_ID,MATERIAL_ID,BUSINESS_TYPE,COST_CENTER_ID,DEL_VERSION,VERSION,CREATED_BY,CREATE_TIME,UPDATED_BY,UPDATE_TIME
A,17,16,1,3,6401,主营业务成本,DEBIT,50.00000000,0,8701,1,50.00000000,50.00000000,9701,,,,,,5701,6701,SALES_OUTPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,18,16,2,2,1401,库存商品,CREDIT,0,50.00000000,8701,1,50.00000000,50.00000000,9701,,,,,,5701,6701,SALES_OUTPUT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,21,20,1,4,1131,应收账款,DEBIT,113.0000,0,8701,1.00000000,113.0000,113.0000,9701,,,,,,,,AR_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,22,20,2,5,6001,主营业务收入,CREDIT,0,100.0000,8701,1.00000000,100.0000,100.0000,9701,,,,,,,,AR_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,23,20,3,6,2221,应交税费-销项税额,CREDIT,0,13.0000,8701,1.00000000,13.0000,13.0000,9701,,,,,,,,AR_INVOICE,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,27,26,1,7,1002,银行存款,DEBIT,113.0000,0,8701,1.00000000,113.0000,113.0000,9701,,,,,,,,RECEIPT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,28,26,2,4,1131,应收账款,CREDIT,0,113.0000,8701,1.00000000,113.0000,113.0000,9701,,,,,,,,RECEIPT,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,37,36,1,2,1401,库存商品,DEBIT,20.00000000,0,8701,1.00000000,20.00000000,20.00000000,9701,,,,,,,,SALES_RETURN,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,38,36,2,3,6401,主营业务成本,CREDIT,0,20.00000000,8701,1.00000000,20.00000000,20.00000000,9701,,,,,,,,SALES_RETURN,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,42,41,1,2,1401,库存商品,DEBIT,-20.0000,0,8701,1.00000000,-20.0000,-20.0000,9701,,,,,,,,SALES_RETURN,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
A,43,41,2,3,6401,主营业务成本,CREDIT,0,-20.0000,8701,1.00000000,-20.0000,-20.0000,9701,,,,,,,,SALES_RETURN,,@var:ErpFinVoucherLine@delVersion_1,0,autotest-ref,*,autotest-ref,*
